Surfshark UI Element Map (PID 16716)
================================================================================
001. Type: TitleBar     | Class:                      | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
002. Type: Button       | Class: Button               | Name: 'Minimize window'                   | Text: 'Minimize window'                   | Rect: (L1628, T47, R1672, B75)
003. Type: Custom       | Class: Minimize             | Name: ''                                  | Text: ''                                  | Rect: (L1644, T60, R1656, B62)
004. Type: Button       | Class: Button               | Name: 'Maximize window'                   | Text: 'Maximize window'                   | Rect: (L1680, T47, R1724, B75)
005. Type: Custom       | Class: Maximize             | Name: ''                                  | Text: ''                                  | Rect: (L1696, T55, R1708, B67)
006. Type: Button       | Class: Button               | Name: 'Close application'                 | Text: 'Close application'                 | Rect: (L1732, T47, R1776, B75)
007. Type: Custom       | Class: SmallCloseIcon       | Name: ''                                  | Text: ''                                  | Rect: (L1749, T56, R1759, B66)
008. Type: Text         | Class: TextBlock            | Name: 'Surfshark 6.12.0'                  | Text: 'Surfshark 6.12.0'                  | Rect: (L1338, T51, R1429, B71)
009. Type: Custom       | Class: VpnConductorView     | Name: ''                                  | Text: ''                                  | Rect: (L1048, T75, R1775, B925)
010. Type: Custom       | Class: MainVpnView          | Name: ''                                  | Text: ''                                  | Rect: (L1048, T75, R1775, B925)
011. Type: Custom       | Class: LocationsBaseView    | Name: ''                                  | Text: ''                                  | Rect: (L1048, T83, R1399, B925)
012. Type: Custom       | Class: LocationsSearchBoxView | Name: ''                                  | Text: ''                                  | Rect: (L1056, T91, R1299, B133)
013. Type: Edit         | Class: TextBox              | Name: 'Search box'                        | Text: ''                                  | Rect: (L1056, T91, R1299, B133)
014. Type: Custom       | Class: SearchIcon           | Name: ''                                  | Text: ''                                  | Rect: (L1061, T96, R1093, B128)
015. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1307, T96, R1339, B128)
016. Type: Custom       | Class: SpeedIcon            | Name: ''                                  | Text: ''                                  | Rect: (L1307, T96, R1339, B128)
017. Type: Custom       | Class: NotificationCenterButtonView | Name: ''                                  | Text: ''                                  | Rect: (L1347, T91, R1379, B133)
018. Type: Button       | Class: Button               | Name: 'Notification Center Button'        | Text: 'Notification Center Button'        | Rect: (L1347, T96, R1379, B128)
019. Type: Custom       | Class: NotificationIcon     | Name: ''                                  | Text: ''                                  | Rect: (L1347, T96, R1379, B128)
020. Type: Pane         | Class: ScrollViewer         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T149, R1391, B181)
021. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T149, R1088, B181)
022. Type: Custom       | Class: ChevronLeftIcon      | Name: ''                                  | Text: ''                                  | Rect: (L1056, T149, R1088, B181)
023. Type: RadioButton  | Class: RadioButton          | Name: 'Locations'                         | Text: 'Locations'                         | Rect: (L1088, T149, R1185, B181)
024. Type: Text         | Class: TextBlock            | Name: 'Ubicaciones'                       | Text: 'Ubicaciones'                       | Rect: (L1096, T157, R1177, B174)
025. Type: RadioButton  | Class: RadioButton          | Name: 'Static IP locations'               | Text: 'Static IP locations'               | Rect: (L1185, T149, R1270, B181)
026. Type: Text         | Class: TextBlock            | Name: 'IP estática'                       | Text: 'IP estática'                       | Rect: (L1193, T157, R1262, B174)
027. Type: RadioButton  | Class: RadioButton          | Name: 'Multihop locations'                | Text: 'Multihop locations'                | Rect: (L1270, T149, R1346, B181)
028. Type: Text         | Class: TextBlock            | Name: 'MultiHop'                          | Text: 'MultiHop'                          | Rect: (L1278, T157, R1338, B174)
029. Type: RadioButton  | Class: RadioButton          | Name: 'Dedicated IP locations'            | Text: 'Dedicated IP locations'            | Rect: (L1346, T149, R1439, B181)
030. Type: Text         | Class: TextBlock            | Name: 'IP exclusiva'                      | Text: 'IP exclusiva'                      | Rect: (L1354, T157, R1431, B174)
031. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1359, T149, R1391, B181)
032. Type: Custom       | Class: ChevronRightIcon     | Name: ''                                  | Text: ''                                  | Rect: (L1359, T149, R1391, B181)
033. Type: Custom       | Class: LocationsListView    | Name: ''                                  | Text: ''                                  | Rect: (L1056, T197, R1391, B925)
034. Type: List         | Class: ListView             | Name: ''                                  | Text: ''                                  | Rect: (L1056, T197, R1391, B925)
035. Type: ListItem     | Class: ListBoxItem          | Name: 'Surfshark.Locations.ViewModels.OptimalLocationsViewModel' | Text: 'Surfshark.Locations.ViewModels.OptimalLocationsViewModel' | Rect: (L1056, T197, R1378, B363)
036. Type: Custom       | Class: OptimalLocationsView | Name: ''                                  | Text: ''                                  | Rect: (L1056, T197, R1378, B347)
037. Type: Text         | Class: TextBlock            | Name: 'Recomendado para ti'               | Text: 'Recomendado para ti'               | Rect: (L1056, T197, R1378, B225)
038. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T233, R1217, B347)
039. Type: Custom       | Class: FastestLocationIcon  | Name: ''                                  | Text: ''                                  | Rect: (L1072, T249, R1120, B281)
040. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1217, T233, R1378, B347)
041. Type: Custom       | Class: NearestLocationIcon  | Name: ''                                  | Text: ''                                  | Rect: (L1233, T249, R1281, B281)
